营业执照注册号/统一社会信用代码 名称 类型 法定代表人 注册资本 成立日期 住所 营业期限自 营业期限至 经营范围 登记机关 核准日期 登记状态
120000000016006/91120000732807993H 天津航发（津蓟）高速公路有限公司 有限责任公司 朱援朝 16000万元 20011121 天津市和平区重庆道70号中楼308室 20011121 20311120 投资、建设、经营管理津蓟高速公路、津围公路、九园公路项目及相关的咨询服务业务（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20110413 存续
120000000023837/911200007257252019 天津立林机械集团有限公司 有限责任公司 王树林 9200万元 20001212 天津市津南区葛沽镇 20001212 20500101 经营本企业和本企业成员企业自产产品及相关技术的出口业务（国家限定公司经营或禁止出口的商品除外）；经营本企业和本企业成员企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务（国家限定公司经营或禁止进口的商品除外）；经营本企业的进料加工和“三来一补”业务；单双螺杆泵、螺杆抽油泵、石油、化工钻采工具及设备生产、销售（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20141222 存续
120000000023845/91120000783316449N 天津沪联投资发展有限公司 有限责任公司 王宝顺 4600万元 20060116 天津市西青区李七庄街程村 20060116 20260115 以自有资金对工业、商业、房地产业、餐饮业进行投资（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20060116 存续
120000000023853/91120000767629920Y 天津太平洋医药科技集团有限公司 有限责任公司 宋德成 4000万元 20041125 天津市西青区大寺镇大任庄村 20041125 20241124 医药技术开发、技术转让、技术服务；建筑材料、机电产品（小轿车除外）、金属材料批发兼零售；集中供热服务；以自有资金对科技业、房地产业、商业进行投资；投资咨询；进出口业务；钢结构件生产；化学原料药；二类精神药品原料药批发（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20070423 存续
120000000023861/911200007005398836 天津三千集团有限公司 有限责任公司 杨富龙 5000万元 19980708 北辰区津围公路西 19980708 20180707 以自有资金对高新技术产业、房地产业进行投资及管理咨询服务；房屋租赁；企业营销策划；进出口业务；仓储（危险品除外）轻工产品、纺织品批发兼零售；电线电缆、金属材料、塑料制品、建筑材料、五金、交电、化工（不含危险品）、电讯器材、机械电子设备、汽车（不含小轿车）的批发、零售、代购、代销；电气设备生产；塑料制品生产、加工。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20150413 存续
120000000023870/911200001030699594 天津和平海湾电源集团有限公司 有限责任公司 宫维林 17127万元 19960731 天津市华苑产业区开华道15号 19960731 20260730 新能源、新材料、电源、电子、机电设备、化工产品（化学危险品及易制毒品除外）、通讯产品及设备的开发、研制、转让、生产、销售；经营本企业研制开发的技术和生产的科技产品的出口业务；经营本企业科研和生产所需的技术、原辅材料、机械设备、仪器仪表、零配件的进口业务；经营本企业的进料加工和“三来一补”业务；电动自行车制造、销售（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20121202 吊销
120000000023888/9112000073546907X2 天津金旷科技发展有限公司 有限责任公司(国有独资) 孟令浩 300万元 20020315 华苑技术产业园区科馨公寓45号 20020315 20220314 高新技术领域的电子、机械、生物、医药、化工技术的开发、服务、咨询(不含中介)(以上范围内国家有专营专项规定的按规定办理)。 天津市滨海新区市场和质量监督管理局 20160219 存续
120000000023896/911200007925160390 弘泽企业（天津）集团有限公司 有限责任公司 沈众 8000万元 20060905 天津市南开区宾水西道333号万豪大厦C区9层 20060905 20560904 投资及投资管理服务；资产经营管理（金融资产经营管理除外）；进出口业务；企业管理、策划及相关服务（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20060905 存续
120000000023907/911200000552688649 中国纺织科学研究院纤维新材料分院 全民所有制分支机构(非法人) 李鑫 -万元 20121022 天津新技术产业园区武清开发区福源道88号 20121022 - 纺织品、针织品、合成纤维产品、纺织机械、工业控制设备和印染工艺技术开发、技术转让、技术服务；纺织化纤产品、纺织机械设备、工业控制设备与配件及其相关产品的生产、加工；本院研制开发的技术和技术产品的出口业务及本院自用技术、设备和原辅材料的进口业务；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）纺织品分析测试、检测；承办纺织品国内展览、展销；纺织技术项目的论证；资料翻译 天津市市场和质量监督管理委员会 20121022 存续
120000000023915/91120000K00300252Q 北京铁路局天津建筑段 全民所有制分支机构(非法人) 许玉明 -万元 20121022 天津市河北区南口路老白灰线院内 20121022 - 房屋和土木工程建筑；建筑安装；建筑设计；物业管理；房屋租赁服务；计算机的维修及服务；生活服务设施经营的管理；建筑项目发包；工程勘测、设计、施工的组织协调与管理；废旧物品的回收和销售 天津市市场和质量监督管理委员会 20131223 存续
120000000023923/91120000055270139U 天津信汇小额贷款股份有限公司 股份有限公司 田瑞金 20000万元 20121023 天津市河西区龙水园2号2层 20121023 - 办理各项小额贷款；票据贴现；贷款转让；贷款项下的结算以及与小额贷款相关的咨询服务（以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理。） 天津市市场和质量监督管理委员会 20121023 存续
